Experiment,Epochs,Batch Size,Learning Rate,Warmup Steps,Loss Function,MRR,nDCG,Precision@1,Time(s)
42,4,8,1e-05,200,CosineSimilarityLoss,0.5489260161135161,0.6527358889579773,0.3958333333333333,20.97231912612915
43,4,8,2e-05,50,MultipleNegativesRankingLoss,0.671412037037037,0.7514487709850073,0.5,21.191479921340942
44,4,8,2e-05,50,CosineSimilarityLoss,0.53981962175896,0.6459244461730123,0.375,20.934718132019043
45,4,8,2e-05,100,MultipleNegativesRankingLoss,0.6675347222222222,0.7488628632078568,0.4791666666666667,20.838070392608643
46,4,8,2e-05,100,CosineSimilarityLoss,0.5421757725526107,0.6477499694253007,0.375,20.949930429458618
47,4,8,2e-05,200,MultipleNegativesRankingLoss,0.6510085978835979,0.7356126960366964,0.4791666666666667,19.000429153442383
48,4,8,2e-05,200,CosineSimilarityLoss,0.5453608312983312,0.6504456953456005,0.375,19.067053079605103
49,4,8,5e-05,50,MultipleNegativesRankingLoss,0.6047295875420876,0.7008138683935007,0.4166666666666667,18.772145986557007
50,4,8,5e-05,50,CosineSimilarityLoss,0.4996499349080871,0.6124809930721918,0.3541666666666667,21.324044942855835
51,4,8,5e-05,100,MultipleNegativesRankingLoss,0.6902168615984405,0.7644974822178483,0.5416666666666666,20.90744185447693
52,4,8,5e-05,100,CosineSimilarityLoss,0.5201818147130647,0.6288596236457428,0.375,22.160909414291382
53,4,8,5e-05,200,MultipleNegativesRankingLoss,0.6757771164021165,0.7544976609448591,0.5,20.919027090072632
54,4,8,5e-05,200,CosineSimilarityLoss,0.5345947540340923,0.6422017114236951,0.3541666666666667,20.874586820602417
55,4,16,1e-05,50,MultipleNegativesRankingLoss,0.6665426587301587,0.7464001594732205,0.5208333333333334,15.91196084022522
56,4,16,1e-05,50,CosineSimilarityLoss,0.5706819800569801,0.6698663992186388,0.4166666666666667,15.871267795562744
57,4,16,1e-05,100,MultipleNegativesRankingLoss,0.6405588624338624,0.7267820108681917,0.4791666666666667,16.956218957901
58,4,16,1e-05,100,CosineSimilarityLoss,0.565435606060606,0.6659486504892508,0.4166666666666667,18.12821888923645
59,4,16,1e-05,200,MultipleNegativesRankingLoss,0.6098469817219817,0.7026523817330599,0.4375,18.424206495285034
60,4,16,1e-05,200,CosineSimilarityLoss,0.5554405663780664,0.6587254907935858,0.3958333333333333,16.222665786743164
61,4,16,2e-05,50,MultipleNegativesRankingLoss,0.7189732142857143,0.786401042714715,0.5833333333333334,15.986162185668945
62,4,16,2e-05,50,CosineSimilarityLoss,0.5381124458330341,0.6454767289881905,0.3541666666666667,16.437499046325684
